param n:=120; #número de itens
param m:=120; #número de caixas
param C:=150; #capacidade das caixas 

param p:= 1 98 2 98 3 98 4 96 5 96 6 94 7 93 8 93 9 92 10 91
         11 91 12 90 13 87 14 86 15 85 16 85 17 84 18 84 19 84 20 84
		 21 84 22 83 23 83 24 82 25 82 26 81 27 80 28 80 29 80 30 79
         31 79 32 78 33 78 34 78 35 78 36 78 37 74 38 74 39 73 40 73		 
         41 73 42 73 43 72 44 71 45 70 46 70 47 70 48 69 49 69 50 69
		 51 67 52 66 53 64 54 62 55 62 56 60 57 60 58 59 59 58 60 58
         61 58 62 57 63 57 64 57 65 57 66 55 67 55 68 55 69 50 70 49
		 71 49 72 49 73 47 74 46 75 46 76 45 77 45 78 44 79 44 80 43
		 81 43 82 43 83 43 84 42 85 42 86 42 87 42 88 42 89 41 90 41
         91 41 92 39 93 39 94 38 95 38 96 38 97 37 98 36 99 36 100 36
		 101 35 102 33 103 33 104 33 105 32 106 32 107 30 108 30 109 30 110 29
		 111 28 112 27 113 27 114 26 115 25 116 25 117 24 118 23 119 23 120 20; 

