param n:=120; #número de itens
param m:=120; #número de caixas
param C:=150; #capacidade das caixas 

param p:= 1 99 2 99 3 98 4 98 5 97 6 97 7 96 8 95 9 92 10 92
		 11 92 12 92 13 91 14 91 15 91 16 90 17 89 18 89 19 88 20 87
		 21 87 22 87 23 86 24 85 25 84 26 84 27 84 28 84 29 82 30 82
		 31 81 32 79 33 78 34 78 35 77 36 77 37 76 38 76 39 75 40 75
		 
         41 75 42 74 43 73 44 73 45 73 46 73 47 72 48 71 49 71 50 71
		 51 71 52 70 53 69 54 69 55 69 56 69 57 69 58 68 59 68 60 67
         61 66 62 65 63 65 64 61 65 60 66 60 67 59 68 57 69 57 70 57
         71 57 72 57 73 56 74 55 75 53 76 52 77 52 78 50 79 50 80 49
		 81 48 82 45 83 45 84 43 85 43 86 42 87 42 88 42 89 42 90 42
		 91 41 92 40 93 40 94 39 95 39 96 37 97 37 98 37 99 36 100 35
	    101 34 102 32 103 32 104 31 105 31 106 30 107 28 108 27 109 25 110 24
		111 24 112 23 113 21 114 21 115 21 116 21 117 21 118 20 119 20 120 20;
